code,name,country_code,timezone
AAA,Anaa Airport,PF,Pacific/Tahiti
AAB,Arrabury Airport,AU,Australia/Brisbane
AAC,El Arish International Airport,EG,Africa/Cairo
AAE,Rabah Bitat Airport,DZ,Africa/Algiers
AAF,Apalachicola Regional Airport,US,America/New_York
AAG,Avelino Vieira Airport,BR,America/Sao_Paulo
AAH,Aachen-Merzbrück Airport,DE,Europe/Berlin
AAI,Arraias Airport,BR,America/Araguaina
AAJ,Cayana Airstrip,SR,America/Paramaribo
AAK,Aranuka Airport,KI,Pacific/Tarawa
AAL,Aalborg Airport,DK,Europe/Copenhagen
AAM,Malamala Airport,ZA,Africa/Johannesburg
AAN,Al Ain International Airport,AE,Asia/Dubai
AAO,Anaco Airport,VE,America/Caracas
AAQ,Anapa Vityazevo Airport,RU,Europe/Moscow
AAR,Aarhus Airport,DK,Europe/Copenhagen
AAS,Apalapsili Airport,ID,Asia/Jayapura
AAT,Altay Airport,CN,Asia/Urumqi
AAU,Asau Airport,WS,Pacific/Apia
AAV,Allah Valley Airport,PH,Asia/Manila
AAX,Romeu Zema Airport,BR,America/Sao_Paulo
AAY,Al Ghaidah International Airport,YE,Asia/Aden
AAZ,Quezaltenango Airport,GT,America/Guatemala
ABA,Abakan International Airport,RU,Asia/Krasnoyarsk
ABB,Asaba International Airport,NG,Africa/Lagos
ABC,Albacete Airport,ES,Europe/Madrid
ABD,Abadan Airport,IR,Asia/Tehran
ABF,Abaiang Airport,KI,Pacific/Tarawa
ABG,Abingdon Downs Airport,AU,Australia/Brisbane
ABH,Alpha Airport,AU,Australia/Brisbane
ABI,Abilene Regional Airport,US,America/Chicago
ABJ,Félix-Houphouët-Boigny International Airport,CI,Africa/Abidjan
ABK,Kabri Dehar Airport,ET,Africa/Addis_Ababa
ABM,Northern Peninsula Airport,AU,Australia/Brisbane
ABN,Albina Airport,SR,America/Paramaribo
ABP,Atkamba Airport,PG,Europe/Riga
ABQ,Albuquerque International Sunport,US,America/Denver
ABR,Aberdeen Regional Airport,US,America/Chicago
ABS,Abu Simbel Airport,EG,Africa/Cairo
ABT,Al-Aqiq Airport,SA,Asia/Riyadh
ABU,Haliwen Airport,ID,Asia/Makassar
ABV,Nnamdi Azikiwe International Airport,NG,Africa/Lagos
ABX,Albury Airport,AU,Australia/Sydney
ABY,Southwest Georgia Regional Airport,US,America/New_York
ABZ,Aberdeen Dyce Airport,GB,Europe/London
ACA,General Juan N Alvarez International Airport,MX,America/Mexico_City
ACB,Antrim County Airport,US,America/Detroit
ACC,Kotoka International Airport,GH,Africa/Accra
ACD,Alcides Fernández Airport,CO,America/Bogota
ACE,Lanzarote Airport,ES,Atlantic/Canary
ACF,Brisbane Archerfield Airport,AU,Australia/Brisbane
ACH,St Gallen Altenrhein Airport,CH,Europe/Zurich
ACI,Alderney Airport,GG,Europe/Guernsey
ACJ,Anuradhapura Air Force Base,LK,Asia/Colombo
ACK,Nantucket Memorial Airport,US,America/New_York
ACL,Aguaclara Airport,CO,America/Bogota
ACM,Arica Airport,CO,America/Bogota
ACN,Ciudad Acuña New International Airport,MX,America/Matamoros
ACP,Sahand Airport,IR,Asia/Yerevan
ACR,Araracuara Airport,CO,America/Bogota
ACS,Achinsk Airport,RU,Asia/Krasnoyarsk
ACT,Waco Regional Airport,US,America/Chicago
ACU,Achutupu Airport,PA,America/Panama
ACV,California Redwood Coast-Humboldt County International Airport,US,America/Los_Angeles
ACX,Xingyi Airport,CN,Asia/Chongqing
ACY,Atlantic City International Airport,US,America/New_York
ACZ,Zabol Airport,IR,Asia/Tehran
ADA,Adana Şakirpaşa Airport,TR,Europe/Istanbul
ADB,Adnan Menderes International Airport,TR,Europe/Istanbul
ADD,Addis Ababa Bole International Airport,ET,Africa/Addis_Ababa
ADE,Aden International Airport,YE,Asia/Aden
ADF,Adıyaman Airport,TR,Europe/Istanbul
ADG,Lenawee County Airport,US,America/Detroit
ADH,Aldan Airport,RU,Asia/Yakutsk
ADI,Arandis Airport,NA,Africa/Windhoek
ADK,Adak Airport,US,America/Adak
ADL,Adelaide International Airport,AU,Australia/Adelaide
ADM,Ardmore Municipal Airport,US,America/Chicago
ADN,Andes Airport,CO,America/Bogota
ADO,Andamooka Airport,AU,Australia/Adelaide
ADP,Ampara Airport,LK,Asia/Colombo
ADQ,Kodiak Airport,US,America/Anchorage
ADR,Robert F Swinnie Airport,US,America/New_York
ADS,Addison Airport,US,America/Chicago
ADT,Ada Regional Airport,US,America/Chicago
ADU,Ardabil Airport,IR,Asia/Tehran
ADW,Joint Base Andrews,US,America/New_York
ADX,RAF Leuchars,GB,Europe/London
ADY,Alldays Airport,ZA,Africa/Johannesburg
ADZ,Gustavo Rojas Pinilla International Airport,CO,America/Bogota
AEA,Abemama Airport,KI,Pacific/Tarawa
AEB,Baise Youjiang Airport,CN,Asia/Chongqing
AEE,Adareil Airport,SS,Africa/Khartoum
AEG,Aek Godang Airport,ID,Asia/Jakarta
AEH,Abeche Airport,TD,Africa/Ndjamena
AEK,Aseki Airport,PG,Pacific/Port_Moresby
AEL,Albert Lea Municipal Airport,US,America/Chicago
AEO,Aioun el Atrouss Airport,MR,Africa/Nouakchott
AEP,Jorge Newbery Airpark,AR,America/Argentina/Buenos_Aires
AER,Sochi International Airport,RU,Europe/Moscow
AES,Ålesund Airport,NO,Europe/Oslo
AET,Allakaket Airport,US,America/Anchorage
AEU,Abu Musa Island Airport,IR,Asia/Dubai
AEX,Alexandria International Airport,US,America/Chicago
AEY,Akureyri Airport,IS,Atlantic/Reykjavik
AFA,Suboficial Ay Santiago Germano Airport,AR,America/Argentina/Mendoza
AFD,Port Alfred Airport,ZA,Africa/Johannesburg
AFF,USAF Academy Airfield,US,America/Denver
AFI,Amalfi Airport,CO,America/Bogota
AFK,Kondavattavana Tank Seaplane Base,LK,Asia/Colombo
AFL,Piloto Osvaldo Marques Dias Airport,BR,America/Cuiaba
AFN,Jaffrey Airport Silver Ranch Airport,US,America/New_York
AFO,Afton Municipal Airport,US,America/Denver
AFR,Afore Airstrip,PG,Pacific/Port_Moresby
AFS,Sugraly Airport,UZ,Asia/Qyzylorda
AFT,Afutara Aerodrome,SB,Pacific/Guadalcanal
AFW,Fort Worth Alliance Airport,US,America/Chicago
AFY,Afyon Air Base,TR,Europe/Istanbul
AFZ,Sabzevar National Airport,IR,Asia/Ashgabat
AGA,Al Massira Airport,MA,Africa/Casablanca
AGB,Augsburg Airport,DE,Europe/Berlin
AGC,Allegheny County Airport,US,America/New_York
AGD,Anggi Airport,ID,Asia/Jayapura
AGE,Wangerooge Airport,DE,Europe/Berlin
AGF,La Garenne Airport,FR,Europe/Paris
AGG,Angoram Airport,PG,Pacific/Port_Moresby
AGH,Ängelholm-Helsingborg Airport,SE,Europe/Stockholm
AGI,Wageningen Airstrip,SR,America/Bogota
AGJ,Aguni Airport,JP,Asia/Tokyo
AGK,Kagua Airport,PG,Pacific/Port_Moresby
AGL,Wanigela Airport,PG,Pacific/Port_Moresby
AGN,Angoon Seaplane Base,US,America/Juneau
AGO,Magnolia Municipal Airport,US,America/Chicago
AGP,Málaga Airport,ES,Europe/Madrid
AGR,Agra Airport ,IN,Asia/Kolkata
AGS,Augusta Regional At Bush Field,US,America/New_York
AGT,Guarani International Airport,PY,America/Asuncion
AGU,Jesús Terán Paredo International Airport,MX,America/Mexico_City
AGV,Oswaldo Guevara Mujica Airport,VE,America/Caracas
AGW,Agnew Airport,AU,Australia/Lindeman
AGX,Agatti Airport,IN,Asia/Kolkata
AGZ,Aggeneys Airport,ZA,Africa/Johannesburg
AHB,Abha International Airport,SA,Asia/Riyadh
AHC,Amedee Army Air Field,US,America/Los_Angeles
AHD,Ardmore Downtown Executive Airport,US,America/Chicago
AHE,Ahe Airport,PF,Pacific/Tahiti
AHF,Arapahoe Municipal Airport,US,America/Chicago
AHH,Amery Municipal Airport,US,America/Chicago
AHI,Amahai Airport,ID,Asia/Jayapura
AHJ,Hongyuan Airport,CN,Asia/Chongqing
AHL,Aishalton Airport,GY,America/Guyana
AHM,Ashland Municipal Sumner Parker Field,US,America/Vancouver
AHN,Athens Ben Epps Airport,US,America/New_York
AHO,Alghero-Fertilia Airport,IT,Europe/Rome
AHS,Ahuas Airport,HN,America/Tegucigalpa
AHU,Cherif Al Idrissi Airport,MA,Africa/Casablanca
AHZ,Altiport L'Alpe d'Huez - Henri GIRAUD,FR,Europe/Monaco
AIA,Alliance Municipal Airport,US,America/Denver
AID,Anderson Municipal Darlington Field,US,America/Indiana/Indianapolis
AIE,Aiome Airport,PG,Pacific/Port_Moresby
AIF,Marcelo Pires Halzhausen Airport,BR,America/Sao_Paulo
AIG,Yalinga Airport,CF,Africa/Bangui
AIH,Aiambak Airport,PG,Pacific/Port_Moresby
AII,Ali-Sabieh Airport,DJ,Africa/Djibouti
AIK,Aiken Regional Airport,US,America/New_York
AIL,Alligandi Airport,PA,America/Panama
AIM,Ailuk Airport,MH,Pacific/Kwajalein
AIN,Wainwright Airport,US,America/Anchorage
AIO,Atlantic Municipal Airport,US,America/Chicago
AIS,Arorae Island Airport,KI,Pacific/Tarawa
AIT,Aitutaki Airport,CK,Pacific/Rarotonga
AIU,Enua Airport,CK,Pacific/Rarotonga
AIV,George Downer Airport,US,America/Chicago
AIW,Ai-Ais Airport,NA,Africa/Windhoek
AIZ,Lee C Fine Memorial Airport,US,America/Chicago
AJA,Ajaccio-Napoléon Bonaparte Airport,FR,Europe/Paris
AJF,Al-Jawf Domestic Airport,SA,Asia/Riyadh
AJI,Ağrı Airport,TR,Europe/Istanbul
AJJ,Akjoujt Airport,MR,Africa/Nouakchott
AJK,Arak Airport,IR,Asia/Tehran
AJL,Lengpui Airport,IN,Asia/Kolkata
AJN,Ouani Airport,KM,Indian/Comoro
AJR,Arvidsjaur Airport,SE,Europe/Stockholm
AJS,Punta Abreojos Airport,MX,America/Hermosillo
AJU,Santa Maria Airport,BR,America/Noronha
AJY,Mano Dayak International Airport,NE,Africa/Niamey
AKA,Ankang Fuqiang Airport,CN,Asia/Chongqing
AKB,Atka Airport,US,America/Adak
AKC,Akron Executive Airport,US,America/New_York
AKD,Akola Airport,IN,Asia/Kolkata
AKE,Akieni Airport,GA,Africa/Libreville
AKF,Kufra Airport,LY,Africa/Tripoli
AKG,Anguganak Airport,PG,Pacific/Port_Moresby
AKH,Prince Sultan Air Base,SA,Asia/Riyadh
AKI,Akiak Airport,US,America/Anchorage
AKJ,Asahikawa Airport,JP,Asia/Tokyo
AKK,Akhiok Airport,US,America/Anchorage
AKL,Auckland International Airport,NZ,Pacific/Auckland
AKM,Zakuoma Airport,TD,Africa/Ndjamena
AKN,King Salmon Airport,US,America/Anchorage
AKO,Colorado Plains Regional Airport,US,America/Denver
AKP,Anaktuvuk Pass Airport,US,America/Anchorage
AKQ,Gunung Batin Airport,ID,Asia/Jakarta
AKR,Akure Airport,NG,Africa/Lagos
AKS,Gwaunaru'u Airport,SB,Pacific/Guadalcanal
AKT,RAF Akrotiri,GB,Asia/Nicosia
AKU,Aksu Onsu Airport,CN,Asia/Kashgar
AKV,Akulivik Airport,CA,America/Montreal
AKW,Aghajari Airport,IR,Asia/Kuwait
AKX,Aktobe Airport,KZ,Asia/Aqtobe
AKY,Sittwe Airport,MM,Asia/Rangoon
ALA,Almaty Airport,KZ,Asia/Almaty
ALB,Albany International Airport,US,America/New_York
ALC,Alicante International Airport,ES,Europe/Madrid
ALD,Alerta Airport,PE,America/Lima
ALE,Alpine Casparis Municipal Airport,US,America/Ojinaga
ALF,Alta Airport,NO,Europe/Oslo
ALG,Houari Boumediene Airport,DZ,Africa/Algiers
ALH,Albany Airport,AU,Australia/Perth
ALI,Alice International Airport,US,America/Chicago
ALJ,Alexander Bay Airport,ZA,Africa/Johannesburg
ALL,Villanova D'Albenga International Airport,IT,Europe/Monaco
ALM,Alamogordo White Sands Regional Airport,US,America/Denver
ALN,St Louis Regional Airport,US,America/Chicago
ALO,Waterloo Regional Airport,US,America/Chicago
ALP,Aleppo International Airport,SY,Asia/Damascus
ALQ,Alegrete Novo Airport,BR,America/Sao_Paulo
ALR,Alexandra Airport,NZ,Pacific/Auckland
ALS,San Luis Valley Regional Airport,US,America/Denver
ALT,Alenquer Airport,BR,America/Manaus
ALU,Alula Airport,SO,Africa/Mogadishu
ALW,Walla Walla Regional Airport,US,America/Los_Angeles
ALX,Thomas C Russell Field,US,America/Chicago
ALY,El Nouzha Airport,EG,Africa/Cairo
ALZ,Alitak Seaplane Base,US,America/Anchorage
AMA,Rick Husband Amarillo International Airport,US,America/Chicago
AMB,Ambilobe Airport,MG,Indian/Antananarivo
AMC,Am Timan Airport,TD,Africa/Ndjamena
AMD,Sardar Vallabhbhai Patel International Airport,IN,Asia/Kolkata
AME,Alto Molocue Airport,MZ,Africa/Maputo
AMF,Ama Airport,PG,Pacific/Port_Moresby
AMH,Arba Minch Airport,ET,Africa/Addis_Ababa
AMI,Selaparang Airport,ID,Asia/Makassar
AMJ,Cirilo Queiróz Airport,BR,America/Sao_Paulo
AMK,Animas Air Park,US,America/Denver
AMM,Queen Alia International Airport,JO,Asia/Amman
AMN,Gratiot Community Airport,US,America/Detroit
AMO,Mao Airport,TD,Africa/Ndjamena
AMP,Ampanihy Airport,MG,Indian/Antananarivo
AMQ,Pattimura Airport Ambon,ID,Asia/Jayapura
AMS,Amsterdam Airport Schiphol,NL,Europe/Amsterdam
AMT,Amata Airport,AU,Australia/Adelaide
AMU,Amanab Airport,PG,Pacific/Port_Moresby
AMV,Amderma Airport,RU,Europe/Moscow
AMW,Ames Municipal Airport,US,America/Chicago
AMX,Ammaroo Airport,AU,Australia/Darwin
AMY,Ambatomainty Airport,MG,Indian/Antananarivo
AMZ,Ardmore Airport,NZ,Pacific/Auckland
ANB,Anniston Regional Airport,US,America/Chicago
ANC,Ted Stevens Anchorage International Airport,US,America/Anchorage
AND,Anderson Regional Airport,US,America/New_York
ANE,Marce Airport,FR,Europe/Paris
ANF,Andrés Sabella Gálvez International Airport,CL,America/Santiago
ANG,Angoulême-Brie-Champniers Airport,FR,Pacific/Palau
ANI,Aniak Airport,US,America/Anchorage
ANJ,Zanaga Airport,CG,Africa/Brazzaville
ANK,Etimesgut Air Base,TR,Europe/Istanbul
ANL,Andulo Airport,AO,Africa/Luanda
ANM,Antsirabe Airport,MG,Indian/Antananarivo
ANN,Annette Island Airport,US,America/Metlakatla
ANO,Angoche Airport,MZ,Africa/Maputo
ANP,Lee Airport,US,America/New_York
ANQ,Tri State Steuben County Airport,US,America/Indiana/Indianapolis
ANR,Antwerp International Airport ,BE,Europe/Brussels
ANS,Andahuaylas Airport,PE,America/Lima
ANU,V.C. Bird International Airport,AG,America/Antigua
ANV,Anvik Airport,US,America/Anchorage
ANW,Ainsworth Regional Airport,US,America/Chicago
ANX,Andøya Airport,NO,Europe/Oslo
ANY,Anthony Municipal Airport,US,America/Chicago
AOB,Annanberg Airport,PG,Pacific/Port_Moresby
AOC,Altenburg-Nobitz Airport,DE,Europe/Berlin
AOD,Abou-Deïa Airport,TD,Africa/Ndjamena
AOE,Anadolu Airport,TR,Europe/Istanbul
AOG,Anshan Teng'ao Airport ,CN,Asia/Shanghai
AOH,Lima Allen County Airport,US,America/New_York
AOI,Marche Airport,IT,Europe/Rome
AOJ,Aomori Airport,JP,Asia/Tokyo
AOK,Karpathos Airport,GR,Europe/Athens
AOL,Paso De Los Libres Airport,AR,America/Argentina/Cordoba
AOM,Adam Airport,OM,Asia/Muscat
AOO,Altoona Blair County Airport,US,America/New_York
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,PE,America/Guayaquil
AOR,Sultan Abdul Halim Airport,MY,Asia/Kuala_Lumpur
AOS,Amook Bay Seaplane Base,US,America/Anchorage
AOT,Aosta Airport,IT,Europe/Rome
AOU,Attopeu Airport,LA,Asia/Vientiane
APA,Centennial Airport,US,America/Denver
APB,Apolo Airport,BO,America/La_Paz
APC,Napa County Airport,US,America/Los_Angeles
APE,San Juan Aposento Airport,PE,America/Lima
APF,Naples Municipal Airport,US,America/New_York
APG,Phillips Army Air Field,US,America/New_York
APH,A P Hill AAF Airport,US,America/New_York
API,Gomez Nino Apiay Air Base,CO,America/Bogota
APK,Apataki Airport,PF,Pacific/Tahiti
APL,Nampula Airport,MZ,Africa/Maputo
APN,Alpena County Regional Airport,US,America/Detroit
APO,Antonio Roldan Betancourt Airport,CO,America/Panama
APP,Asapa Airport,PG,Pacific/Port_Moresby
APQ,Arapiraca Airport,BR,America/Maceio
APR,April River Airport,PG,Pacific/Port_Moresby
APS,Anápolis Airport,BR,America/Sao_Paulo
APT,Marion County Brown Field,US,America/Chicago
APU,Captain João Busse Airport,BR,America/Sao_Paulo
APV,Apple Valley Airport,US,America/Los_Angeles
APW,Faleolo International Airport,WS,Pacific/Apia
APX,Arapongas Airport,BR,America/Sao_Paulo
APY,Alto Parnaíba Airport,BR,America/Araguaina
APZ,Zapala Airport,AR,America/Argentina/Salta
AQA,Araraquara Airport,BR,America/Sao_Paulo
AQB,Quiché Airport,GT,America/Guatemala
AQG,Anqing Tianzhushan Airport,CN,Asia/Shanghai
AQI,Hafr Al Batin Airport,SA,Asia/Riyadh
AQJ,Aqaba King Hussein International Airport,JO,Asia/Amman
AQM,Ariquemes Airport,BR,America/Porto_Velho
AQP,Rodríguez Ballón International Airport,PE,America/Lima
AQY,Girdwood Airport,US,America/Anchorage
ARA,Acadiana Regional Airport,US,America/Chicago
ARB,Ann Arbor Municipal Airport,US,America/Detroit
ARC,Arctic Village Airport,US,America/Anchorage
ARD,Mali Airport,ID,Asia/Makassar
ARE,Antonio Nery Juarbe Pol Airport,PR,America/Puerto_Rico
ARF,Acaricuara Airport,CO,America/Bogota
ARG,Walnut Ridge Regional Airport,US,America/Chicago
ARH,Talagi Airport,RU,Europe/Moscow
ARI,Chacalluta Airport,CL,America/Santiago
ARJ,Arso Airport,ID,Asia/Jayapura
ARK,Arusha Airport,TZ,Africa/Dar_es_Salaam
ARL,Arly Airport,BF,Africa/Ouagadougou
ARM,Armidale Airport,AU,Australia/Sydney
ARN,Stockholm-Arlanda Airport,SE,Europe/Stockholm
ARO,Arboletes Airport,CO,America/Bogota
ARP,Aragip Airport,PG,Pacific/Port_Moresby
ARQ,El Troncal Airport,CO,America/Bogota
ARR,D. Casimiro Szlapelis Airport,AR,America/Argentina/Catamarca
ART,Watertown International Airport,US,America/New_York
ARU,Araçatuba Airport,BR,America/Sao_Paulo
ARV,Lakeland-Noble F. Lee Memorial field,US,America/Chicago
ARW,Arad International Airport,RO,Europe/Bucharest
ARY,Ararat Airport,AU,Australia/Melbourne
ARZ,N'zeto Airport,AO,Africa/Luanda
ASA,Assab International Airport,ER,Africa/Asmara
ASB,Ashgabat International Airport,TM,Asia/Ashgabat
ASC,Ascención De Guarayos Airport,BO,America/La_Paz
ASD,Andros Town Airport,BS,America/Nassau
ASE,Aspen/Pitkin County Airport,US,America/Denver
ASF,Astrakhan Airport,RU,Europe/Volgograd
ASG,Ashburton Aerodrome,NZ,Pacific/Auckland
ASH,Nashua Airport / Boire Field,US,America/New_York
ASI,RAF Ascension Island,SH,Atlantic/St_Helena
ASJ,Amami Airport,JP,Asia/Tokyo
ASK,Yamoussoukro Airport,CI,Africa/Abidjan
ASL,Harrison County Airport,US,America/Chicago
ASM,Asmara International Airport,ER,Africa/Asmara
ASN,Talladega Municipal Airport,US,America/Chicago
ASO,Asosa Airport,ET,Africa/Addis_Ababa
ASP,Alice Springs Airport,AU,Australia/Darwin
ASQ,Austin Airport,US,America/Los_Angeles
ASR,Kayseri Erkilet Airport,TR,Europe/Istanbul
AST,Astoria Regional Airport,US,America/Los_Angeles
ASU,Silvio Pettirossi International Airport,PY,America/Asuncion
ASV,Amboseli Airport,KE,Africa/Nairobi
ASW,Aswan International Airport,EG,Africa/Cairo
ASX,John F Kennedy Memorial Airport,US,America/Chicago
ASY,Ashley Municipal Airport,US,America/Chicago
ASZ,Asirim Airport,PG,Pacific/Port_Moresby
ATA,Comandante FAP German Arias Graziani Airport,PE,America/Lima
ATB,Atbara Airport,SD,Africa/Khartoum
ATC,Arthur's Town Airport,BS,America/Nassau
ATD,Uru Harbour Airport,SB,Pacific/Guadalcanal
ATE,Antlers Municipal Airport,US,America/Chicago
ATF,Chachoán Airport,EC,America/Guayaquil
ATH,Eleftherios Venizelos International Airport,GR,Europe/Athens
ATI,Artigas International Airport,UY,America/Montevideo
ATJ,Antsirabe Airport,MG,Indian/Antananarivo
ATK,Atqasuk Edward Burnell Sr Memorial Airport,US,America/Anchorage
ATL,Hartsfield Jackson Atlanta International Airport,US,America/New_York
ATM,Altamira Airport,BR,America/Manaus
ATN,Namatanai Airport,PG,Pacific/Port_Moresby
ATO,Ohio University Snyder Field,US,America/New_York
ATP,Aitape Airport,PG,Pacific/Port_Moresby
ATQ,Sri Guru Ram Dass Jee International Airport,IN,Asia/Kolkata
ATR,Atar International Airport,MR,Africa/Nouakchott
ATS,Artesia Municipal Airport,US,America/Denver
ATT,Atmautluak Airport,US,America/Anchorage
ATU,Casco Cove Coast Guard Station,US,America/Adak
ATV,Ati Airport,TD,Africa/Ndjamena
ATW,Appleton International Airport,US,America/Chicago
ATX,Atbasar Airport,KZ,Asia/Almaty
ATY,Watertown Regional Airport,US,America/Chicago
ATZ,Asyut International Airport,EG,Africa/Cairo
AUA,Queen Beatrix International Airport,AW,America/Aruba
AUC,Santiago Perez Airport,CO,America/Bogota
AUD,Augustus Downs Airport,AU,Australia/Brisbane
AUE,Abu Rudeis Airport,EG,Africa/Cairo
AUF,Auxerre-Branches Airport,FR,Europe/Paris
AUG,Augusta State Airport,US,America/New_York
AUH,Abu Dhabi International Airport,AE,Asia/Dubai
AUI,Aua Island Airport,PG,Pacific/Port_Moresby
AUJ,Ambunti Airport,PG,Pacific/Port_Moresby
AUK,Alakanuk Airport,US,America/Nome
AUL,Aur Island Airport,MH,Pacific/Majuro
AUM,Austin Municipal Airport,US,America/Chicago
AUN,Auburn Municipal Airport,US,America/Los_Angeles
AUO,Auburn University Regional Airport,US,America/Chicago
AUP,Agaun Airport,PG,Pacific/Port_Moresby
AUQ,Hiva Oa-Atuona Airport,PF,Pacific/Gambier
AUR,Aurillac Airport,FR,Europe/Paris
AUS,Austin Bergstrom International Airport,US,America/Chicago
AUT,Atauro Airport,TL,Asia/Dili
AUU,Aurukun Airport,AU,Australia/Brisbane
AUV,Aumo Airport,PG,Pacific/Port_Moresby
AUW,Wausau Downtown Airport,US,America/Chicago
AUX,Araguaína Airport,BR,America/Araguaina
AUY,Aneityum Airport,VU,Pacific/Efate
AUZ,Aurora Municipal Airport,US,America/Chicago
AVA,Anshun Huangguoshu Airport,CN,Asia/Chongqing
AVB,Aviano Air Base,IT,Europe/Rome
AVG,Auvergne Airport,AU,Australia/Darwin
AVI,Maximo Gomez Airport,CU,America/Havana
AVK,Arvaikheer Airport,MN,Asia/Ulaanbaatar
AVL,Asheville Regional Airport,US,America/New_York
AVN,Avignon-Caumont Airport,FR,Europe/Paris
AVO,Avon Park Executive Airport,US,America/New_York
AVP,Wilkes Barre Scranton International Airport,US,America/New_York
AVR,Alverca Air Base,PT,Europe/Lisbon
AVU,Avu Avu Airport,SB,Pacific/Guadalcanal
AVV,Avalon Airport,AU,Australia/Melbourne
AVW,Marana Regional Airport,US,America/Phoenix
AWA,Awasa Airport,ET,Africa/Addis_Ababa
AWD,Aniwa Airport,VU,Pacific/Efate
AWE,Alowe Airport,GA,Africa/Libreville
AWK,Wake Island Airfield,UM,Pacific/Wake
AWM,West Memphis Municipal Airport,US,America/Chicago
AWN,Alton Downs Airport,AU,Australia/Adelaide
AWP,Austral Downs Airport,AU,Australia/Darwin
AWZ,Lieutenant General Qasem Soleimani International Airport,IR,Asia/Tehran
AXA,Clayton J Lloyd International Airport,AI,America/Anguilla
AXB,Maxson Airfield,US,America/Montreal
AXC,Aramac Airport,AU,Australia/Brisbane
AXD,Alexandroupoli Democritus Airport,GR,Europe/Athens
AXE,Xanxerê Airport,BR,America/Sao_Paulo
AXF,Alxa Left Banner Bayanhot Airport,CN,America/New_York
AXG,Algona Municipal Airport,US,America/Chicago
AXJ,Amakusa Airport,JP,Asia/Seoul
AXK,Ataq Airport,YE,Asia/Aden
AXL,Alexandria Homestead Airport,AU,Australia/Darwin
AXM,El Eden Airport,CO,America/Bogota
AXN,Chandler Field,US,America/Chicago
AXP,Spring Point Airport,BS,America/Grand_Turk
AXR,Arutua Airport,PF,Pacific/Tahiti
AXS,Altus Quartz Mountain Regional Airport,US,America/Chicago
AXT,Akita Airport,JP,Asia/Tokyo
AXU,Axum Airport,ET,Africa/Addis_Ababa
AXV,Neil Armstrong Airport,US,America/New_York
AXX,Angel Fire Airport,US,America/Denver
AYA,Ayapel Airport,CO,America/Bogota
AYC,Ayacucho Airport,CO,America/Bogota
AYD,Alroy Downs Airport,AU,Australia/Darwin
AYG,Yaguara Airport,CO,America/Bogota
AYI,Yari Airport,CO,America/Bogota
AYK,Arkalyk North Airport,KZ,Asia/Almaty
AYL,Anthony Lagoon Airport,AU,Australia/Darwin
AYN,Anyang Airport,CN,Asia/Shanghai
AYO,Juan De Ayolas Airport,PY,America/Asuncion
AYP,Coronel FAP Alfredo Mendivil Duarte Airport,PE,America/Lima
AYQ,Ayers Rock Connellan Airport,AU,Australia/Darwin
AYR,Ayr Airport,AU,Australia/Brisbane
AYS,Waycross Ware County Airport,US,America/New_York
AYT,Antalya International Airport,TR,Europe/Istanbul
AYU,Aiyura Airport,PG,Pacific/Port_Moresby
AYW,Ayawasi Airport,ID,Asia/Jayapura
AYX,Teniente General Gerardo Pérez Pinedo Airport,PE,Europe/Dublin
AYY,Arugam Bay SPB,LK,Asia/Colombo
AZA,Phoenix-Mesa-Gateway Airport,US,America/Phoenix
AZB,Amazon Bay Airport,PG,Pacific/Port_Moresby
AZD,Shahid Sadooghi Airport,IR,Asia/Tehran
AZG,Pablo L. Sidar Airport,MX,America/Mexico_City
AZI,Al Bateen Executive Airport,AE,Asia/Dubai
AZL,Fazenda Tucunaré Airport,BR,America/Cuiaba
AZN,Andizhan Airport,UZ,Asia/Tashkent
AZO,Kalamazoo Battle Creek International Airport,US,America/Detroit
AZP,Atizapan de Zaragoza Airport,MX,America/Mexico_City
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,DZ,Africa/Algiers
AZS,Samaná El Catey International Airport,DO,America/Santo_Domingo
AZT,Zapatoca Airport,CO,America/Bogota
AZZ,Ambriz Airport,AO,Africa/Luanda
BAA,Bialla Airport,PG,Pacific/Port_Moresby
BAB,Beale Air Force Base,US,America/Los_Angeles
BAC,Barranca De Upia Airport,CO,America/Bogota
BAD,Barksdale Air Force Base,US,America/Chicago
BAE,Barcelonnette - Saint-Pons Airport,FR,Europe/Paris
BAF,Westfield-Barnes Regional Airport,US,America/New_York
BAG,Loakan Airport,PH,Asia/Manila
BAH,Bahrain International Airport,BH,Asia/Bahrain
BAI,Buenos Aires Airport,CR,America/Costa_Rica
BAJ,Bali Airport,PG,Pacific/Port_Moresby
BAL,Batman Airport,TR,Europe/Istanbul
BAM,Battle Mountain Airport,US,America/Boise
BAN,Basongo Airport,CD,Africa/Lubumbashi
BAQ,Ernesto Cortissoz International Airport,CO,America/Bogota
BAS,Ballalae Airport,SB,Pacific/Guadalcanal
BAT,Chafei Amsei Airport,BR,America/Sao_Paulo
BAU,Bauru Airport,BR,America/Sao_Paulo
BAV,Baotou Airport,CN,Asia/Chongqing
BAX,Barnaul Airport,RU,Asia/Omsk
BAY,Maramureș International Airport,RO,Europe/Bucharest
BAZ,Barcelos Airport,BR,America/Manaus
BBA,Balmaceda Airport,CL,America/Santiago
BBB,Benson Municipal Airport,US,America/Chicago
