code,name,country_code,timezone
GJA,La Laguna Airport,HN,America/Tegucigalpa
GJL,Jijel Ferhat Abbas Airport,DZ,Africa/Algiers
GJM,Guajará-Mirim Airport,BR,America/Porto_Velho
GJR,Gjögur Airport,IS,Atlantic/Reykjavik
GJT,Grand Junction Regional Airport,US,America/Denver
GKA,Goroka Airport,PG,Pacific/Port_Moresby
GKD,Gökçeada Airport,TR,Europe/Istanbul
GKE,Geilenkirchen Air Base,DE,Europe/Berlin
GKH,Palungtar Airport,NP,Asia/Kathmandu
GKK,Kooddoo Airport,MV,Indian/Maldives
GKL,Great Keppel Is Airport,AU,Australia/Lindeman
GKN,Gulkana Airport,US,America/Anchorage
GKT,Gatlinburg-Pigeon Forge Airport,US,America/Kentucky/Monticello
GLA,Glasgow International Airport,GB,Europe/London
GLB,San Carlos Apache Airport,US,America/Phoenix
GLC,Geladi Airport,ET,Africa/Addis_Ababa
GLD,Renner Field-Goodland Municipal Airport,US,America/Denver
GLF,Golfito Airport,CR,America/Costa_Rica
GLG,Glengyle Airport,AU,Australia/Brisbane
GLH,Mid Delta Regional Airport,US,America/Chicago
GLI,Glen Innes Airport,AU,Australia/Sydney
GLK,Galcaio Airport,SO,Africa/Mogadishu
GLL,Gol Airport,NO,Europe/Oslo
GLM,Glenormiston Airport,AU,Australia/Brisbane
GLN,Guelmim Airport,MA,Africa/Casablanca
GLO,Gloucestershire Airport,GB,Europe/London
GLP,Gulgubip Airport,PG,Asia/Jayapura
GLR,Gaylord Regional Airport,US,America/Menominee
GLS,Scholes International At Galveston Airport,US,America/Chicago
GLT,Gladstone Airport,AU,Australia/Brisbane
GLU,Gelephu Airport,BT,Asia/Thimphu
GLV,Golovin Airport,US,America/Nome
GLX,Gamarmalamo Airport,ID,Asia/Jayapura
GLZ,Gilze Rijen Air Base,NL,Europe/Amsterdam
GMA,Gemena Airport,CD,Africa/Kinshasa
GMB,Gambella Airport,ET,Africa/Addis_Ababa
GMD,Ben Slimane Airport,MA,Africa/Casablanca
GME,Gomel Airport,BY,Europe/Minsk
GMI,Gasmata Island Airport,PG,Pacific/Port_Moresby
GML,Gostomel Airport,UA,Europe/Kiev
GMM,Gamboma Airport,CG,Africa/Brazzaville
GMN,Greymouth Airport,NZ,Pacific/Auckland
GMO,Gombe Lawanti International Airport,NG,Africa/Ndjamena
GMP,Gimpo International Airport,KR,Asia/Seoul
GMQ,Golog Maqin Airport,CN,Asia/Thimphu
GMR,Totegegie Airport,PF,Pacific/Gambier
